country,country_code,event_id,event_name,law_or_regulation_code,announcement_date,effective_date,search_category,affected_population_size,affected_population_type,user_problem_description,source_url
Brazil,BR,BR-EVT-001,Lei 15.270/2025 Reforma Imposto de Renda 2026,Lei 15.270/2025,2025-11-15,2026-01-01,income tax,"35,000,000",Individual Taxpayers / Salaried Workers,Calculating tax liability under new R$ 5.000 exemption limit and progressive table changes.,https://www.gov.br/receitafederal/pt-br
Brazil,BR,BR-EVT-002,Regulamentação Reforma Tributária PLP 68/2024 Transição 2026,PLP 68/2024,2024-12-20,2026-01-01,tax,"5,000,000",SMEs & Accounting Professionals,"Understanding IBS and CBS dual VAT rules, split payment execution, and transitional tax credits.",https://www.fazenda.gov.br/reformatributaria
Brazil,BR,BR-EVT-003,Reajuste DAS-MEI Salário Mínimo 2026 R$ 1.518,Resolução CGSN 175/2025,2025-12-15,2026-01-01,SME reporting,"15,000,000",Microentrepreneurs (MEI),Calculating new monthly DAS payment based on 5% of updated minimum wage.,https://www.gov.br/empresas-e-negocios/pt-br/mei
Brazil,BR,BR-EVT-004,FGTS Digital & eSocial Obrigatoriedade 2026,Decreto 11.900/2024,2024-03-01,2026-01-01,payroll,"8,000,000",Employers & Domestic Employers,Executing FGTS Digital Pix payments and eSocial domestic payroll compliance.,https://fgtsdigital.sistema.gov.br
Brazil,BR,BR-EVT-005,Nova Carteira de Identidade Nacional (CIN) Prazo 2026,Lei 14.534/2023,2023-01-11,2026-03-01,digital identity,"100,000,000",General Citizens,Scheduling CIN biometric registration and verifying required documents per state.,https://www.gov.br/governodigital/pt-br/cin
Brazil,BR,BR-EVT-006,Restituição IRPF 2026 / Lotes e Consulta Receita Federal,Instrução Normativa RFB 2026,2026-02-01,2026-05-31,income tax,"25,000,000",Taxpayers expecting refund,"Checking refund lot release dates, priority criteria (Pix key), and malha fina status.",https://www.gov.br/receitafederal/pt-br
Brazil,BR,BR-EVT-007,IPVA 2026 e Licenciamento Anual (SP/RJ/MG),Leis Estaduais IPVA 2026,2025-12-01,2026-01-10,vehicle,"40,000,000",Vehicle Owners,"Calculating IPVA value based on FIPE table, checking discount for lump sum payment.",https://portal.fazenda.sp.gov.br/servicos/ipva
Brazil,BR,BR-EVT-008,Cadastro Único (CadÚnico) Recadastramento Obrigatório 2026,Portaria MDS 950/2025,2025-10-15,2026-01-15,benefits,"21,000,000",Low-income Families,Scheduling CRAS appointment for CadÚnico update to prevent Bolsa Família blockage.,https://www.gov.br/mds/pt-br/acoes-e-programas/cadastro-unico
Brazil,BR,BR-EVT-009,Emissão NFe 4.0 / Nota Fiscal Fácil MEI 2026,Ajuste SINIEF 10/2024,2024-09-01,2026-01-01,e-invoicing,"10,000,000",MEI & Microbusinesses,Generating mandatory electronic invoice via Nota Fiscal Fácil mobile application.,https://www.nfe.fazenda.gov.br
Brazil,BR,BR-EVT-010,Fim da DIRF e Substituição por eSocial/EFD-Reinf 2026,Instrução Normativa RFB 2094/2022,2022-12-10,2026-01-01,payroll,"4,000,000",Corporate Employers & Accountants,Migrating corporate income tax withholding reporting from DIRF to EFD-Reinf.,https://www.gov.br/receitafederal/pt-br/assuntos/orientacao/tributaria/declaracoes-e-demonstrativos/efd-reinf
Brazil,BR,BR-EVT-011,Tabela INSS e Alíquotas Progressivas 2026,Portaria Interministerial MPS/MF 2026,2026-01-10,2026-01-01,payroll,"38,000,000",Salaried Employees,Calculating progressive INSS deduction on payroll based on updated salary brackets.,https://www.gov.br/inss/pt-br
Brazil,BR,BR-EVT-012,Salário Família & Margem Consignável INSS 2026,Portaria MPS 2026,2026-01-12,2026-01-01,benefits,"8,000,000",Low-income Salaried Workers & Retirees,Verifying gross salary ceiling for Salário Família per child and checking 45% loan margin.,https://www.gov.br/inss/pt-br
Brazil,BR,BR-EVT-013,SPVAT (Novo Seguro Obrigatório DPVAT) 2026,Lei Complementar 207/2024,2024-05-16,2026-01-01,vehicle,"50,000,000",Vehicle Owners,Paying mandatory SPVAT coverage fee via Caixa Econômica Federal portal.,https://www.caixa.gov.br/spvat
Brazil,BR,BR-EVT-014,Proagro e Seguro Agrícola Regras MAPA 2026,Resolução BCB 4.950/2025,2025-08-01,2026-01-01,customs/import,"2,000,000",Rural Producers & Agricultural SMEs,Filing agricultural climate loss claim and calculating Proagro deductible limit.,https://www.gov.br/agricultura/pt-br
Brazil,BR,BR-EVT-015,Portabilidade de Crédito Imobiliário BACEN 2026,Resolução CMN 5.050/2024,2024-11-01,2026-01-01,banking/payments,"3,000,000",Mortgage Holders,Simulating interest rate savings when transferring real estate financing between banks.,https://www.bcb.gov.br
Brazil,BR,BR-EVT-016,Cadastro Ambiental Rural (CAR) Regularização 2026,Lei 14.595/2023,2023-06-01,2026-05-31,property,"6,000,000",Rural Property Owners,Consulting CAR approval status and completing Environmental Regularization Program (PRA).,https://www.car.gov.br
Brazil,BR,BR-EVT-017,Visto ETA / Exigência de Visto de Entrada 2026,Decreto 11.950/2024,2024-04-10,2026-04-10,immigration,"1,500,000",Foreign Tourists & Travelers,"Applying for e-Visa for US, Canadian, and Australian passport holders visiting Brazil.",https://brazil.vfsevisa.com
