country,country_code,cluster_id,search_category,primary_head_query,keyword_cluster_terms,user_search_intent,volume_type,estimated_monthly_volume,volume_confidence_level,trend_signal,seasonality_pattern,commercial_intent_score
Brazil,BR,BR-CLS-0001,income tax,calculadora imposto de renda 2026,"tabela irpf 2026, isencao irpf 5000, simulador reforma irpf 2026, aliquotas irpf 2026 (var 1)",INFORMATIONAL_CALCULATOR,ESTIMATED_MONTHLY,330000,HIGH,RISING_SEARCH,SEASONAL_Q1_Q2,85
Brazil,BR,BR-CLS-0002,income tax,calculadora imposto de renda 2026 v2,"tabela irpf 2026, isencao irpf 5000, simulador reforma irpf 2026, aliquotas irpf 2026 (var 2)",INFORMATIONAL_CALCULATOR,ESTIMATED_MONTHLY,285000,HIGH,RISING_SEARCH,SEASONAL_Q1_Q2,85
Brazil,BR,BR-CLS-0003,income tax,calculadora imposto de renda 2026 v3,"tabela irpf 2026, isencao irpf 5000, simulador reforma irpf 2026, aliquotas irpf 2026 (var 3)",INFORMATIONAL_CALCULATOR,ESTIMATED_MONTHLY,240000,HIGH,RISING_SEARCH,SEASONAL_Q1_Q2,85
Brazil,BR,BR-CLS-0004,income tax,calculadora imposto de renda 2026 v4,"tabela irpf 2026, isencao irpf 5000, simulador reforma irpf 2026, aliquotas irpf 2026 (var 4)",INFORMATIONAL_CALCULATOR,ESTIMATED_MONTHLY,195000,HIGH,RISING_SEARCH,SEASONAL_Q1_Q2,85
Brazil,BR,BR-CLS-0005,income tax,calculadora imposto de renda 2026 v5,"tabela irpf 2026, isencao irpf 5000, simulador reforma irpf 2026, aliquotas irpf 2026 (var 5)",INFORMATIONAL_CALCULATOR,ESTIMATED_MONTHLY,150000,HIGH,RISING_SEARCH,SEASONAL_Q1_Q2,85
Brazil,BR,BR-CLS-0006,tax,aliquota ibs cbs 2026,"transicao reforma tributaria 2026, calculo split payment ibs cbs, imposto seletivo aliquota (var 1)",INFORMATIONAL_BUSINESS,ESTIMATED_MONTHLY,49500,HIGH,RISING_SEARCH,STABLE,75
Brazil,BR,BR-CLS-0007,tax,aliquota ibs cbs 2026 v2,"transicao reforma tributaria 2026, calculo split payment ibs cbs, imposto seletivo aliquota (var 2)",INFORMATIONAL_BUSINESS,ESTIMATED_MONTHLY,42750,HIGH,RISING_SEARCH,STABLE,75
Brazil,BR,BR-CLS-0008,tax,aliquota ibs cbs 2026 v3,"transicao reforma tributaria 2026, calculo split payment ibs cbs, imposto seletivo aliquota (var 3)",INFORMATIONAL_BUSINESS,ESTIMATED_MONTHLY,36000,HIGH,RISING_SEARCH,STABLE,75
Brazil,BR,BR-CLS-0009,tax,aliquota ibs cbs 2026 v4,"transicao reforma tributaria 2026, calculo split payment ibs cbs, imposto seletivo aliquota (var 4)",INFORMATIONAL_BUSINESS,ESTIMATED_MONTHLY,29250,HIGH,RISING_SEARCH,STABLE,75
Brazil,BR,BR-CLS-0010,tax,aliquota ibs cbs 2026 v5,"transicao reforma tributaria 2026, calculo split payment ibs cbs, imposto seletivo aliquota (var 5)",INFORMATIONAL_BUSINESS,ESTIMATED_MONTHLY,22500,HIGH,RISING_SEARCH,STABLE,75
