country,country_code,candidate_opportunity,head_query,top_1_domain,top_1_type,top_2_domain,top_2_type,top_3_domain,top_3_type,government_tool_exists,commercial_tool_exists,weak_domains_in_top_10,ai_overview_present,zero_click_risk,serp_gap_rating,organic_accessibility_score
Brazil,BR,Calculadora IRPF 2026 & Simulador da Reforma,calculadora imposto de renda 2026,gov.br/receitafederal,GOV,iorlando.com.br,BLOG,mobills.com.br,COMMERCIAL_BLOG,NO,YES,YES,NO,LOW,HIGH_GAP,92
Brazil,BR,Portal Transição IBS/CBS 2026,aliquota ibs cbs 2026,fazenda.gov.br,GOV,conjur.com.br,NEWS,pwc.com.br,CORPORATE,NO,NO,NO,NO,LOW,MEDIUM_GAP,68
Brazil,BR,Guia DAS-MEI 2026,valor das mei 2026,gov.br/mei,GOV_TOOL,sebrae.com.br,SEMI_GOV,contadorstat.com.br,COMMERCIAL_TOOL,YES,YES,NO,YES,HIGH,NO_GAP,40
Brazil,BR,Assistente FGTS Digital eSocial,fgts digital como pagar pix,sistema.gov.br,GOV_TOOL,caixa.gov.br,GOV,contabeis.com.br,FORUM,YES,YES,NO,YES,HIGH,NO_GAP,45
Brazil,BR,Portal Agendamento CIN Guia,agendamento cin 2026,gov.br/cin,GOV_TOOL,poupatempo.sp.gov.br,GOV_LOCAL,g1.globo.com,NEWS,YES,NO,NO,YES,HIGH,NO_GAP,35
Mexico,MX,Calculadora Aguinaldo Neto ISR 2026,calculadora aguinaldo neto 2026,sat.gob.mx,GOV,elcontador.mx,COMMERCIAL_BLOG,idconline.mx,NEWS,NO,YES,YES,NO,LOW,HIGH_GAP,88
Mexico,MX,Tablas ISR SAT 2026 & Calculadora,tablas isr 2026 sat,sat.gob.mx,GOV_TABLE,fiscalia.com,FORUM,elconta.com,BLOG,NO,YES,NO,NO,LOW,MEDIUM_GAP,74
Mexico,MX,Guia Tramite CURP Biometrica,curp biometrica requisitos citas 2026,gob.mx/renapo,GOV_PORTAL,eluniversal.com.mx,NEWS,milenio.com,NEWS,YES,NO,NO,YES,HIGH,NO_GAP,40
Mexico,MX,Calculador de Cuotas Patronales IMSS 2026,tabla cuotas patronales imss 2026,imss.gob.mx,GOV,contadorcontado.com,BLOG,tax.com.mx,BLOG,NO,NO,YES,NO,LOW,MEDIUM_GAP,70
Mexico,MX,Portal Citas REPUVE Guia,regularizacion autos chocolate 2026 citas repuve,repuve.gob.mx,GOV_TOOL,elsoldemexico.com.mx,NEWS,infobae.com,NEWS,YES,NO,NO,YES,HIGH,NO_GAP,38
Colombia,CO,Calculadora ReteFuente DIAN 2026,calculadora retencion en la fuente 2026 colombia,dian.gov.co,GOV,actualicese.com,COMMERCIAL_BLOG,gerencie.com,BLOG,NO,YES,YES,NO,LOW,HIGH_GAP,86
Colombia,CO,Calculadora Jornada Laboral 42 Horas,calculo hora ordinaria y recargo 2026 colombia,mintrabajo.gov.co,GOV,eltiempo.com,NEWS,laborapp.co,TOOL,NO,NO,YES,NO,LOW,HIGH_GAP,84
Colombia,CO,Verificador POS Electrónico DIAN,pos electronico 5 uvt dian 2026,dian.gov.co,GOV,alegra.com,SAAS,siigo.com,SAAS,NO,YES,NO,NO,LOW,LOW_GAP,60
Colombia,CO,Simulador Reforma Pensional 2026,reforma pensional colombia simulador 2026,colpensiones.gov.co,GOV_TOOL,porvenir.com.co,FINANCIAL,larepublica.co,NEWS,YES,NO,NO,YES,HIGH,NO_GAP,42
Colombia,CO,Calculadora SOAT e Impuesto Vehículos,tarifas soat 2026 motos y carros,superfinanciera.gov.co,GOV,fasecolda.com,ASSOCIATION,runt.gov.co,GOV_TOOL,YES,YES,NO,YES,HIGH,NO_GAP,40
Nigeria,NG,Nigeria Tax Act & PAYE Calculator 2026,paye tax calculator nigeria 2026,nrs.gov.ng,GOV,myjobmag.com,JOBS,kudabank.com,BANK,NO,NO,YES,NO,LOW,HIGH_GAP,80
Nigeria,NG,Nigeria Minimum Wage Net Pay Calculator,70000 minimum wage salary structure calculator nigeria,labour.gov.ng,GOV,punchng.com,NEWS,nairametrics.com,NEWS,NO,NO,YES,NO,LOW,HIGH_GAP,78
Nigeria,NG,WHT Deduction Rate Lookup Tool,wht rates in nigeria 2026 pdf,nrs.gov.ng,GOV_PDF,taxaide.com.ng,CONSULTING,pwc.com/ng,CORPORATE,NO,YES,NO,NO,LOW,MEDIUM_GAP,66
Nigeria,NG,CAC Compliance Status & Penalty Estimator,cac annual returns filing fee 2026,cac.gov.ng,GOV_TOOL,nairaland.com,FORUM,legalspire.ng,BLOG,YES,YES,YES,YES,HIGH,NO_GAP,45
Nigeria,NG,PenCom RSA Withdrawal & Contribution Calculator,pencom pension contribution calculator nigeria 2026,pencom.gov.ng,GOV_TOOL,stanbicibtc.com,PFA,armpension.com,PFA,YES,NO,NO,YES,HIGH,NO_GAP,42
Kenya,KE,Kenya Net Payslip Calculator (SHIF + Housing Levy),shif deduction calculator kenya 2026,sha.go.ke,GOV,standardmedia.co.ke,NEWS,nation.africa,NEWS,NO,YES,YES,NO,LOW,HIGH_GAP,82
Kenya,KE,Guia Invoicing KRA eTIMS,etims kra registration process 2026,etims.kra.go.ke,GOV_TOOL,tuko.co.ke,NEWS,standardmedia.co.ke,NEWS,YES,YES,NO,YES,HIGH,NO_GAP,48
Kenya,KE,Calculadora NSSF Tier I/II Kenya,nssf rates table 2026 kenya,nssf.or.ke,GOV,salary24.co.ke,BLOG,kenyayote.com,BLOG,NO,YES,YES,NO,LOW,MEDIUM_GAP,65
Kenya,KE,Portal Tracking Maisha Card eCitizen,maisha card application on ecitizen 2026,ecitizen.go.ke,GOV_TOOL,citizen.digital,NEWS,tuko.co.ke,NEWS,YES,NO,NO,YES,HIGH,NO_GAP,40
Kenya,KE,KRA TCC Instant Troubleshooting Guide,how to apply for kra tcc on itax 2026,itax.kra.go.ke,GOV_TOOL,tuko.co.ke,NEWS,kenyans.co.ke,NEWS,YES,NO,NO,YES,HIGH,NO_GAP,42
Morocco,MA,Calculateur Salaire Net & IR Maroc 2026,calculateur salaire net maroc 2026,finances.gov.ma,GOV,dgi.gov.ma,GOV,rekrute.com,JOBS,NO,YES,YES,NO,LOW,HIGH_GAP,86
Morocco,MA,Annuaire Taux TVA DGI Maroc,taux tva maroc 2026 liste produits,tax.gov.ma,GOV_CODE,lematin.ma,NEWS,fisc-maroc.com,BLOG,NO,YES,NO,NO,LOW,MEDIUM_GAP,66
