country,country_code,candidate_opportunity,query_text,language,intent_type,semantic_cluster,estimated_monthly_demand_range,demand_confidence
Mexico,MX,Calculadora Aguinaldo Neto ISR 2026,calculadora aguinaldo neto 2026 mexico,es-MX,CALCULATOR,Aguinaldo Net Calculation,"ESTIMATED: 8,000–15,000/month",HIGH
Mexico,MX,Calculadora Aguinaldo Neto ISR 2026,cuanto me descuentan de isr de aguinaldo,es-MX,CALCULATOR,ISR Bonus Deduction,"ESTIMATED: 6,000–12,000/month",HIGH
Mexico,MX,Calculadora Aguinaldo Neto ISR 2026,calculo aguinaldo exencion uma sat 2026,es-MX,CALCULATOR,UMA Exemption Limit,"ESTIMATED: 4,000–8,000/month",HIGH
Mexico,MX,Calculadora Aguinaldo Neto ISR 2026,calculadora aguinaldo proporcional 2026,es-MX,CALCULATOR,Proportional Bonus,"ESTIMATED: 5,000–10,000/month",HIGH
Mexico,MX,Calculadora Aguinaldo Neto ISR 2026,tabla exencion aguinaldo 30 umas 2026,es-MX,LOOKUP,UMA Exemption Limit,"ESTIMATED: 3,000–6,000/month",HIGH
Mexico,MX,Calculadora Aguinaldo Neto ISR 2026,formula para calcular el aguinaldo neto,es-MX,CALCULATOR,Aguinaldo Net Calculation,"ESTIMATED: 4,500–9,000/month",HIGH
Mexico,MX,Calculadora Aguinaldo Neto ISR 2026,cuanto es 15 dias de aguinaldo calculador,es-MX,CALCULATOR,15 Days Calculation,"ESTIMATED: 5,000–9,500/month",HIGH
Mexico,MX,Calculadora Aguinaldo Neto ISR 2026,como calcular aguinaldo bruto a neto sat,es-MX,CALCULATOR,Gross to Net Conversion,"ESTIMATED: 3,500–7,000/month",HIGH
Mexico,MX,Calculadora Aguinaldo Neto ISR 2026,calculadora aguinaldo trabajadores del hogar,es-MX,CALCULATOR,Domestic Workers,"ESTIMATED: 2,500–5,000/month",MEDIUM
Mexico,MX,Calculadora Aguinaldo Neto ISR 2026,calculo de aguinaldo con salario minimo 2026,es-MX,CALCULATOR,Minimum Wage Aguinaldo,"ESTIMATED: 4,000–7,500/month",HIGH
Mexico,MX,Calculadora Aguinaldo Neto ISR 2026,calculo aguinaldo articulo 174 rlisr,es-MX,CALCULATOR,Art 174 RLISR Smoothing,"ESTIMATED: 2,000–4,500/month",HIGH
Mexico,MX,Calculadora Aguinaldo Neto ISR 2026,calculadora aguinaldo resico personas fisicas,es-MX,CALCULATOR,RESICO Aguinaldo,"ESTIMATED: 1,800–3,500/month",MEDIUM
Mexico,MX,Calculadora Aguinaldo Neto ISR 2026,calculo de ISR en gratificacion anual sat,es-MX,CALCULATOR,ISR Bonus Deduction,"ESTIMATED: 2,500–5,500/month",HIGH
Mexico,MX,Calculadora Aguinaldo Neto ISR 2026,calculadora finiquito y aguinaldo mexico,es-MX,CALCULATOR,Severance & Aguinaldo,"ESTIMATED: 7,000–14,000/month",HIGH
