country,country_code,target_query,rank_position,domain_name,page_type,interactive_calculator_present,government_result,authority_proxy,small_independent_domain_in_top_10,ai_overview_present,ads_present
Mexico,MX,calculadora aguinaldo neto 2026 mexico,1,siemprecontable.net,INDEPENDENT_CALCULATOR,YES,NO,LOW_DR,YES,NO,YES
Mexico,MX,calculadora aguinaldo neto 2026 mexico,2,taxdown.com.mx,COMMERCIAL_SAAS,YES,NO,MEDIUM_DR,NO,NO,YES
Mexico,MX,calculadora aguinaldo neto 2026 mexico,3,runahr.com,COMMERCIAL_SAAS,YES,NO,HIGH_DR,NO,NO,YES
Mexico,MX,calculadora aguinaldo neto 2026 mexico,4,tucalculadorasat.com,INDEPENDENT_CALCULATOR,YES,NO,LOW_DR,YES,NO,YES
Mexico,MX,calculadora aguinaldo neto 2026 mexico,5,fiscoclic.mx,COMMERCIAL_SAAS,YES,NO,MEDIUM_DR,NO,NO,YES
Mexico,MX,calculadora aguinaldo neto 2026 mexico,6,sat.gob.mx,GOV,NO,YES,HIGH_DR,NO,NO,YES
Mexico,MX,calculadora aguinaldo neto 2026 mexico,7,nominax.com,COMMERCIAL_SAAS,YES,NO,MEDIUM_DR,NO,NO,YES
Mexico,MX,calculadora aguinaldo neto 2026 mexico,8,villanett.com,BLOG,NO,NO,LOW_DR,YES,NO,YES
Mexico,MX,calculadora aguinaldo neto 2026 mexico,9,elcontador.mx,BLOG,NO,NO,LOW_DR,YES,NO,YES
Mexico,MX,calculadora aguinaldo neto 2026 mexico,10,idconline.mx,NEWS_ARTICLE,NO,NO,HIGH_DR,NO,NO,YES
Mexico,MX,cuanto me descuentan de isr de aguinaldo,1,siemprecontable.net,INDEPENDENT_CALCULATOR,YES,NO,LOW_DR,YES,NO,YES
Mexico,MX,cuanto me descuentan de isr de aguinaldo,2,taxdown.com.mx,COMMERCIAL_SAAS,YES,NO,MEDIUM_DR,NO,NO,YES
Mexico,MX,cuanto me descuentan de isr de aguinaldo,3,runahr.com,COMMERCIAL_SAAS,YES,NO,HIGH_DR,NO,NO,YES
Mexico,MX,cuanto me descuentan de isr de aguinaldo,4,tucalculadorasat.com,INDEPENDENT_CALCULATOR,YES,NO,LOW_DR,YES,NO,YES
Mexico,MX,cuanto me descuentan de isr de aguinaldo,5,fiscoclic.mx,COMMERCIAL_SAAS,YES,NO,MEDIUM_DR,NO,NO,YES
Mexico,MX,cuanto me descuentan de isr de aguinaldo,6,sat.gob.mx,GOV,NO,YES,HIGH_DR,NO,NO,YES
Mexico,MX,cuanto me descuentan de isr de aguinaldo,7,nominax.com,COMMERCIAL_SAAS,YES,NO,MEDIUM_DR,NO,NO,YES
Mexico,MX,cuanto me descuentan de isr de aguinaldo,8,villanett.com,BLOG,NO,NO,LOW_DR,YES,NO,YES
Mexico,MX,cuanto me descuentan de isr de aguinaldo,9,elcontador.mx,BLOG,NO,NO,LOW_DR,YES,NO,YES
Mexico,MX,cuanto me descuentan de isr de aguinaldo,10,idconline.mx,NEWS_ARTICLE,NO,NO,HIGH_DR,NO,NO,YES
Mexico,MX,calculo aguinaldo exencion uma sat 2026,1,siemprecontable.net,INDEPENDENT_CALCULATOR,YES,NO,LOW_DR,YES,NO,YES
Mexico,MX,calculo aguinaldo exencion uma sat 2026,2,taxdown.com.mx,COMMERCIAL_SAAS,YES,NO,MEDIUM_DR,NO,NO,YES
