country,country_code,competitor_domain,tool_name,user_inputs_required,outputs_provided,mobile_ux_rating,rule_set_accuracy_2026,signup_required,monetization_methods,material_value_add_opportunity
Mexico,MX,siemprecontable.net,Calculadora de Aguinaldo Neto,"Monthly gross salary, Days of Aguinaldo, Days worked in year","Gross Aguinaldo, UMA Exemption, Taxable Base, ISR Deduction, Net Aguinaldo",AVERAGE,FULL_2026,NO,Display Ads (AdSense),"Build modern zero-ad-clutter UI, fast mobile reactive slider, and auto-export PDF receipt."
Mexico,MX,tucalculadorasat.com,Calculadora Aguinaldo SAT,"Sueldo bruto, Días trabajados","Aguinaldo proporcional, Retención ISR",POOR,PARTIAL_2025,NO,Aggressive Banner Ads,"Eliminate slow pop-up ads, implement 2026 UMA rate ($117.31 MXN), and offer Art 174 RLISR smoothing toggle."
Mexico,MX,taxdown.com.mx,Simulador Aguinaldo e Impuestos,"Email, Gross Salary, RFC (optional)","Net Aguinaldo, Estimated Annual Refund",EXCELLENT,FULL_2026,YES,Tax Filing SaaS Sales ($499 MXN),Provide 100% instant result without requiring email signup.
Colombia,CO,retencionescolombia.com,Calculadora Retención Asalariados,"Salario bruto, Aportes salud/pension, Dependientes, Intereses vivienda","Base depurada en UVT, Tarifa Art 383, Retención mensual en COP",AVERAGE,FULL_2026,NO,Display Ads,Provide instant UVT $52.374 indexation toggle and side-by-side Method 1 vs Method 2 comparison.
Colombia,CO,tuliqui.com.co,Liquidador ReteFuente Asalariados,"Ingreso mensual bruto, Deducciones de ley",Retención en la fuente estimada,POOR,PARTIAL_2025,NO,Display Ads,"Modernize UI, fix mobile overflow errors, and add 25% exempt labor income cap logic."
Colombia,CO,actualicese.com,Liquidador Retención en la Fuente Excel,Full payroll breakdown fields in downloadable XLS,Complete withholding schedule Formulario 350 summary,POOR,FULL_2026,YES,"Subscription Paywall ($299,000 COP/year)",Provide instant web-based execution with zero spreadsheet downloads or paywalls.
Kenya,KE,calckenya.com,Kenya Net Salary & SHIF Calculator,"Gross Pay, Allowances, NSSF Tier option","PAYE, SHIF (2.75%), Housing Levy (1.5%), NSSF Tier I/II, Personal Relief, Net Salary",AVERAGE,FULL_2026,NO,Display Ads,Add interactive statutory deduction breakdown charts and downloadable payslip PDF export.
Kenya,KE,netsalary.co.ke,Net Salary Calculator Kenya,"Basic Salary, Benefits, Mortgages","PAYE, NHIF/SHIF, NSSF, Housing Levy, Net Pay",POOR,PARTIAL_2025,NO,Display Ads,"Update legacy NHIF table rates to 2.75% SHIF flat rate and implement 2026 NSSF Tier II upper cap (KES 108,000)."
Kenya,KE,wingubox.co.ke,Wingubox Free Online PAYE Calculator,Gross Salary,"PAYE, NSSF, Housing Levy, Net Salary",EXCELLENT,FULL_2026,YES,Payroll Software Subscription,Offer instant frictionless calculation without mandatory company email registration modal.
Morocco,MA,upsilon-consulting.com,Simulateur Salaire Net Maroc,"Salaire Brut Global, Situation familiale, Nombre d'enfants","CNSS, AMO, Frais Pro (20%), IR Net, Salaire Net à Payer",AVERAGE,FULL_2026,NO,B2B Consulting Lead Capture,"Implement instant live updates on input change, add 40.000 MAD exempt bracket toggle, and mobile dark mode."
Morocco,MA,ojraweb.com,Calculateur Fiche de Paie Maroc,"Salaire de base, Primes imposables","Déductions sociales, IR mensuel, Net a payer",POOR,PARTIAL_2025,NO,Display Ads,Fix clunky desktop layout on mobile viewports and apply new 37% top IR marginal rate update.
Morocco,MA,fiscamaroc.com,Simulateur IR et Paie Maroc,Salaire Brut Imposable,"Tranches IR, Salaire Net",AVERAGE,FULL_2026,NO,Accounting Software Ads,Build bilingual French/Arabic instant toggle UI and exportable salary breakdown slip.
