country_code,calculator_id,primary_keyword,search_volume,search_volume_provenance,difficulty_score,difficulty_score_provenance,target_cpc,target_cpc_provenance,ad_arbitrage_viability,ad_arbitrage_provenance,lead_generation_viability,lead_gen_provenance,b2b_sponsorship_viability,b2b_sponsorship_provenance,primary_monetization_vector,local_partner_type,regulatory_complexity_level,update_frequency_required,primary_official_source,canonical_url,production_status,production_status_provenance,verification_status,verification_status_provenance,launch_date
KE,ke-net-salary,net salary calculator kenya,110000,EXTERNAL_ESTIMATE,Low-Medium,EXTERNAL_ESTIMATE,0.85,EXTERNAL_ESTIMATE,Low,MODEL_FORECAST,High,MODEL_FORECAST,High,MODEL_FORECAST,B2B HR Software / Payroll Lead Gen,HR / Payroll Software Providers,High,Annual / Statutory Updates,KRA / NSSF / SHA,https://regulo.online/ke/net-salary-calculator,Active,OBSERVED,Verified PASS,OBSERVED,2026-08-09
KE,ke-paye,paye calculator kenya,49500,EXTERNAL_ESTIMATE,Low-Medium,EXTERNAL_ESTIMATE,0.90,EXTERNAL_ESTIMATE,Low,MODEL_FORECAST,High,MODEL_FORECAST,High,MODEL_FORECAST,B2B HR Software / Tax Consultation,Tax Advisory / Accounting Firms,High,Annual / Budget Amendments,KRA (Kenya Revenue Authority),https://regulo.online/ke/paye-calculator-kenya,Active,OBSERVED,Verified PASS,OBSERVED,2026-08-09
KE,ke-shif,shif calculator kenya,33100,EXTERNAL_ESTIMATE,Low,EXTERNAL_ESTIMATE,0.65,EXTERNAL_ESTIMATE,Low,MODEL_FORECAST,Medium,MODEL_FORECAST,High,MODEL_FORECAST,B2B Payroll Compliance,Health Insurers / HR Tech,Medium,Regulatory Statutory Rate Updates,Social Health Authority (SHA),https://regulo.online/ke/shif-calculator-kenya,Active,OBSERVED,Verified PASS,OBSERVED,2026-08-09
KE,ke-housing-levy,housing levy calculator kenya,22200,EXTERNAL_ESTIMATE,Low,EXTERNAL_ESTIMATE,0.70,EXTERNAL_ESTIMATE,Low,MODEL_FORECAST,Medium,MODEL_FORECAST,High,MODEL_FORECAST,B2B Compliance & Advisory,Payroll / HR Software,Low,Statutory Rate Amendments,Affordable Housing Act 2024 / KRA,https://regulo.online/ke/housing-levy-calculator-kenya,Active,OBSERVED,Verified PASS,OBSERVED,2026-08-09
KE,ke-salary-after-tax,salary after tax kenya,18100,EXTERNAL_ESTIMATE,Low,EXTERNAL_ESTIMATE,0.75,EXTERNAL_ESTIMATE,Low,MODEL_FORECAST,High,MODEL_FORECAST,High,MODEL_FORECAST,Executive Compensation / HR Lead Gen,HR Recruitment & Payroll Vendors,High,Annual,KRA / NSSF / SHA,https://regulo.online/ke/salary-after-tax-kenya,Active,OBSERVED,Verified PASS,OBSERVED,2026-08-09
KE,ke-net-salary-2026,kenya net salary calculator 2026,14800,EXTERNAL_ESTIMATE,Low,EXTERNAL_ESTIMATE,0.80,EXTERNAL_ESTIMATE,Low,MODEL_FORECAST,High,MODEL_FORECAST,High,MODEL_FORECAST,B2B HR Software & Audit,Payroll Providers,High,Annual,KRA / NSSF / SHA,https://regulo.online/ke/kenya-net-salary-calculator-2026,Active,OBSERVED,Verified PASS,OBSERVED,2026-08-09
MX,mx-aguinaldo,calculadora aguinaldo,246000,EXTERNAL_ESTIMATE,Medium,EXTERNAL_ESTIMATE,1.10,EXTERNAL_ESTIMATE,Medium,MODEL_FORECAST,High,MODEL_FORECAST,High,MODEL_FORECAST,HR Tech / Payroll Lead Gen,Nomina / Payroll Software (e.g. Buk Nominax),High,Annual UMA & LISR Updates,LFT Art. 87 / SAT,https://regulo.online/mx/aguinaldo-calculator,Active,OBSERVED,Verified PASS,OBSERVED,2026-08-09
MX,mx-salario-neto,salario neto mexico,165000,EXTERNAL_ESTIMATE,Medium,EXTERNAL_ESTIMATE,1.25,EXTERNAL_ESTIMATE,Medium,MODEL_FORECAST,High,MODEL_FORECAST,High,MODEL_FORECAST,Nomina Software & Accounting Leads,HR Tech / Legal Advisors,High,Annual,SAT / LISR Art. 96,https://regulo.online/mx/salario-neto-mexico,Active,OBSERVED,Verified PASS,OBSERVED,2026-08-09
MX,mx-isr,calculadora isr mexico,90500,EXTERNAL_ESTIMATE,Medium,EXTERNAL_ESTIMATE,1.40,EXTERNAL_ESTIMATE,Low,MODEL_FORECAST,High,MODEL_FORECAST,High,MODEL_FORECAST,Tax Advisory & Accounting Lead Gen,Accounting / Despachos Contables,High,Annual Tarifas SAT,SAT (Servicio de Administración Tributaria),https://regulo.online/mx/calculadora-isr-mexico,Active,OBSERVED,Verified PASS,OBSERVED,2026-08-09
MX,mx-isr-aguinaldo,isr aguinaldo calculator,40500,EXTERNAL_ESTIMATE,Low-Medium,EXTERNAL_ESTIMATE,1.15,EXTERNAL_ESTIMATE,Low,MODEL_FORECAST,Medium,MODEL_FORECAST,High,MODEL_FORECAST,Corporate Payroll Consulting,HR Software Providers,High,Annual,LISR Art. 93 Fracc. XIV & Art. 96,https://regulo.online/mx/isr-aguinaldo-calculator,Active,OBSERVED,Verified PASS,OBSERVED,2026-08-09
MX,mx-aguinaldo-neto-2026,aguinaldo neto calculadora 2026,27100,EXTERNAL_ESTIMATE,Low,EXTERNAL_ESTIMATE,1.20,EXTERNAL_ESTIMATE,Medium,MODEL_FORECAST,High,MODEL_FORECAST,High,MODEL_FORECAST,Payroll Software & Accounting Services,Nomina SaaS,High,Annual,LFT Art. 87 / INEGI UMA,https://regulo.online/mx/aguinaldo-neto-calculadora-2026,Active,OBSERVED,Verified PASS,OBSERVED,2026-08-09
MA,ma-salaire-net,calculateur salaire net maroc,74000,EXTERNAL_ESTIMATE,Low-Medium,EXTERNAL_ESTIMATE,0.95,EXTERNAL_ESTIMATE,Low,MODEL_FORECAST,High,MODEL_FORECAST,High,MODEL_FORECAST,B2B HR / Payroll Software,Logiciels de Paie (e.g. Sage SAP local SaaS),High,Annual (Loi de Finances),Direction Générale des Impôts (DGI) / CNSS,https://regulo.online/ma/salaire-net-calculateur,Active,OBSERVED,Verified PASS,OBSERVED,2026-08-09
MA,ma-calculateur-salaire-net,calculateur salaire net maroc 2026,49500,EXTERNAL_ESTIMATE,Low,EXTERNAL_ESTIMATE,1.00,EXTERNAL_ESTIMATE,Low,MODEL_FORECAST,High,MODEL_FORECAST,High,MODEL_FORECAST,B2B Payroll & Fiduciaire Lead Gen,Cabinets Comptables / Fiduciaires,High,Annual,DGI CGI 2026,https://regulo.online/ma/calculateur-salaire-net-maroc,Active,OBSERVED,Verified PASS,OBSERVED,2026-08-09
MA,ma-calcul-ir,calcul ir maroc,33100,EXTERNAL_ESTIMATE,Low,EXTERNAL_ESTIMATE,1.10,EXTERNAL_ESTIMATE,Low,MODEL_FORECAST,High,MODEL_FORECAST,High,MODEL_FORECAST,Tax Advisory & Accounting Lead Gen,Fiduciaires & Expert Comptable,High,Annual,DGI CGI Article 74,https://regulo.online/ma/calcul-ir-maroc,Active,OBSERVED,Verified PASS,OBSERVED,2026-08-09
MA,ma-salaire-brut-net,salaire brut net maroc,22200,EXTERNAL_ESTIMATE,Low,EXTERNAL_ESTIMATE,0.90,EXTERNAL_ESTIMATE,Low,MODEL_FORECAST,High,MODEL_FORECAST,High,MODEL_FORECAST,HR Recruitment & Salary Benchmarking,Cabinets de Recrutement,High,Annual,DGI / CNSS / AMO,https://regulo.online/ma/salaire-brut-net-maroc,Active,OBSERVED,Verified PASS,OBSERVED,2026-08-09
CO,co-retefuente,retefuente calculadora,135000,EXTERNAL_ESTIMATE,Medium,EXTERNAL_ESTIMATE,1.30,EXTERNAL_ESTIMATE,Medium,MODEL_FORECAST,High,MODEL_FORECAST,High,MODEL_FORECAST,Accounting Software & Tax Advisory Lead Gen,Software Contable (e.g. Siigo Loggro),High,Annual UVT Updates,DIAN / Estatuto Tributario Art. 383,https://regulo.online/co/retefuente-calculadora,Active,OBSERVED,Verified PASS,OBSERVED,2026-08-09
CO,co-retefuente-2026,retefuente calculadora 2026,60500,EXTERNAL_ESTIMATE,Low-Medium,EXTERNAL_ESTIMATE,1.35,EXTERNAL_ESTIMATE,Medium,MODEL_FORECAST,High,MODEL_FORECAST,High,MODEL_FORECAST,B2B Tax & Payroll Software,Consultoría Tributaria,High,Annual,DIAN Resolution UVT 2026,https://regulo.online/co/retefuente-calculadora-2026,Active,OBSERVED,Verified PASS,OBSERVED,2026-08-09
CO,co-salario-neto,salario neto colombia,90500,EXTERNAL_ESTIMATE,Medium,EXTERNAL_ESTIMATE,1.15,EXTERNAL_ESTIMATE,Medium,MODEL_FORECAST,High,MODEL_FORECAST,High,MODEL_FORECAST,HR Tech / Payroll Lead Gen,Nomina SaaS,High,Annual,Ley 100 de 1993 / DIAN,https://regulo.online/co/salario-neto-colombia,Active,OBSERVED,Verified PASS,OBSERVED,2026-08-09
CO,co-uvt,uvt calculator colombia,40500,EXTERNAL_ESTIMATE,Low,EXTERNAL_ESTIMATE,1.45,EXTERNAL_ESTIMATE,Low,MODEL_FORECAST,High,MODEL_FORECAST,High,MODEL_FORECAST,Tax Advisory & Accounting Lead Gen,Firmas de Contadores,Low,Annual,DIAN (Dirección de Impuestos y Aduanas Nacionales),https://regulo.online/co/uvt-calculator,Active,OBSERVED,Verified PASS,OBSERVED,2026-08-09
