country,country_code,language,event_name,event_category,law_or_regulation,source_url,announcement_date,effective_date,affected_population,affected_population_type,user_problem,head_query,keyword_cluster,cluster_volume,volume_type,volume_confidence,trend_signal,serp_strength,government_tool_exists,commercial_tool_exists,weak_domain_ranking,ai_overview,zero_click_risk,candidate_product,product_type,mvp_hours,monetization_primary,monetization_secondary,estimated_revenue_per_100k,organic_accessibility,event_timing,evidence_quality,red_team_result,score,status
Brazil,BR,pt-BR,Lei 15.270/2025 Reforma Imposto de Renda 2026,tax,Lei 15.270/2025,https://www.gov.br/receitafederal/pt-br,2025-11-15,2026-01-01,"35,000,000",Individual Taxpayers / Employees,"Calculating net tax liability, new exemption limit R$ 5.000, and bracket migration under 2026 reform",calculadora imposto de renda 2026,"tabela irpf 2026, isenção irpf 5000, simulador reforma irpf 2026",300000,ESTIMATED_MONTHLY,HIGH,RISING_SEARCH,MEDIUM,NO,YES,YES,NO,LOW,Calculadora IRPF 2026 & Simulador da Reforma,Interactive Web Calculator & Tax Table Guide,36,Display Ads (AdSense / Ezoic),Lead Gen (Tax Accountants & FinTechs),$850,HIGH,IMMEDIATE,HIGH,PASSED_ALL,94,BUILD NOW
Brazil,BR,pt-BR,Regulamentação Reforma Tributária PLP 68/2024 Transição 2026,tax,PLP 68/2024,https://www.fazenda.gov.br/reformatributaria,2024-12-20,2026-01-01,"5,000,000",SMEs & Accounting Professionals,Understanding CBS and IBS dual-VAT tax rates and split payment impact for businesses,aliquota ibs cbs 2026,"transição reforma tributaria 2026, calculo split payment ibs cbs",45000,ESTIMATED_MONTHLY,HIGH,RISING_SEARCH,HIGH,NO,NO,NO,NO,LOW,Portal Transição IBS/CBS 2026,Informational Portal & B2B Calculator,48,Lead Gen (B2B Tax Software / ERPs),Display Ads,"$1,200",MEDIUM,MID_TERM,HIGH,KILLED_COMMERCIAL,68,WATCH
Brazil,BR,pt-BR,Reajuste DAS-MEI Salário Mínimo 2026 R$ 1.518,SME reporting,Resolução CGSN 175/2025,https://www meigov.br,2025-12-15,2026-01-01,"15,000,000",Microentrepreneurs (MEI),Calculating new monthly DAS payment based on 5% of minimum wage + ISS/ICMS,valor das mei 2026,"tabela das mei 2026, aumento das mei salario minimo",120000,ESTIMATED_MONTHLY,HIGH,SEASONAL_PEAK,HIGH,YES,YES,NO,YES,HIGH,Guia DAS-MEI 2026,Informational Table & Calculator,24,Display Ads,Financial Product Affiliates (PJ Accounts),$450,LOW,IMMEDIATE,HIGH,KILLED_GOV_TOOL,52,DROP
Brazil,BR,pt-BR,FGTS Digital & eSocial Obrigatoriedade 2026,payroll,Decreto 11.900/2024,https://fgtsdigital.sistema.gov.br,2024-03-01,2026-01-01,"8,000,000",Employers & Domestic Employers,Calculating FGTS Digital Pix payments and eSocial domestic payroll compliance,fgts digital como pagar pix,"esocial domestica 2026 guia, fgts digital prazos",65000,ESTIMATED_MONTHLY,HIGH,STABLE,HIGH,YES,YES,NO,YES,HIGH,Assistente FGTS Digital eSocial,Guide & Template Generator,40,Display Ads,Payroll Software Affiliates,$500,LOW,IMMEDIATE,HIGH,KILLED_GOV_TOOL,55,DROP
Brazil,BR,pt-BR,Nova Carteira de Identidade Nacional (CIN) Prazo 2026,digital identity,Lei 14.534/2023,https://www.gov.br/governodigital/pt-br/cin,2023-01-11,2026-03-01,"100,000,000",General Population,Scheduling CIN biometric registration and verifying required documents per state,agendamento cin 2026,"documentos nova carteira identidade, emissao cin gratis",210000,ESTIMATED_MONTHLY,HIGH,STABLE,HIGH,YES,NO,NO,YES,HIGH,Portal Agendamento CIN Guia,State Portal Directory & Document Checklist,24,Display Ads,Document Delivery Affiliates,$250,LOW,IMMEDIATE,HIGH,KILLED_GOV_TOOL,48,DROP
Mexico,MX,es-MX,CFDI Nómina 1.2 & Aguinaldo Exención UMA 2026,payroll,Resolución Miscelánea Fiscal 2026,https://www.sat.gob.mx,2025-12-28,2026-01-01,"22,000,000",Formal Workers & Payroll HR,"Calculating ISR retention on Aguinaldo over 30 UMA limit ($3,519.30 MXN)",calculadora aguinaldo neto 2026,"cuanto me quitan de isr de aguinaldo 2026, exencion uma aguinaldo sat",140000,ESTIMATED_MONTHLY,HIGH,SEASONAL_PEAK,LOW,NO,YES,YES,NO,LOW,Calculadora Aguinaldo Neto ISR 2026,Interactive Payroll Calculator,36,Display Ads,HR & Payroll Software Affiliates,$650,HIGH,IMMEDIATE,HIGH,PASSED_ALL,88,VALIDATE
Mexico,MX,es-MX,Tablas ISR 2026 & Recargos SAT 2.07%,tax,Ley de Ingresos de la Federación 2026,https://www.sat.gob.mx,2025-11-25,2026-01-01,"30,000,000",Taxpayers & Accountants,Determining monthly ISR brackets and penalty rates for delayed filings,tablas isr 2026 sat,"calculadora isr personas fisicas 2026, tarifa mensual isr 2026",180000,ESTIMATED_MONTHLY,HIGH,STABLE,HIGH,NO,YES,NO,NO,LOW,Tablas ISR SAT 2026 & Calculadora,Tax Table Lookup & Calculator,30,Display Ads,Accounting Software Ads,$550,MEDIUM,IMMEDIATE,HIGH,KILLED_COMMERCIAL,74,WATCH
Mexico,MX,es-MX,CURP Biométrica Obligatoria Registro 2026,digital identity,Ley General de Población 2025,https://www.gob.mx/segob/renapo,2025-07-10,2026-02-01,"80,000,000",General Population,"Finding biometric registration modules, appointment booking, and document list",curp biometrica requisitos citas 2026,"donde tramitar curp con huella, renapo citas curp",95000,ESTIMATED_MONTHLY,HIGH,RISING_SEARCH,HIGH,YES,NO,NO,YES,HIGH,Guia Tramite CURP Biometrica,Module Locator & Requirement Checklist,24,Display Ads,Identity Theft Protection Affiliates,$300,LOW,IMMEDIATE,HIGH,KILLED_GOV_TOOL,50,DROP
Mexico,MX,es-MX,Salario Mínimo 2026 ($315.04) & Cuotas IMSS Patronales,payroll,CONASAMI Resolución 2025,https://www.gob.mx/conasami,2025-12-01,2026-01-01,"18,000,000",Employers & HR Specialists,Calculating employer IMSS contributions with increased employer Cesantía rate,tabla cuotas patronales imss 2026,"salario minimo 2026 mexico imss, aumento cuota patronal cesantia",55000,ESTIMATED_MONTHLY,HIGH,STABLE,MEDIUM,NO,NO,YES,NO,LOW,Calculador de Cuotas Patronales IMSS 2026,Employer Cost Matrix Calculator,40,Display Ads,B2B Payroll & Legal Services,$750,MEDIUM,IMMEDIATE,HIGH,KILLED_SERP_DOMINANCE,70,WATCH
Mexico,MX,es-MX,Regularización Vehículos Extranjeros (Autos Chocolate) 2026,vehicle,Decreto REPUVE 2026,https://www.gob.mx/sesnsp/acciones-y-programas/regularizacion-de-vehiculos-usados-de-procedencia-extranjera,2025-12-30,2026-01-01,"3,000,000",Car Owners Northern/Central Mexico,"Checking VIN eligibility, REPUVE appointment slots, and $2,500 MXN payment receipt",regularizacion autos chocolate 2026 citas repuve,"costo regularizar auto chocolate 2026, cita repuve regularizacion",85000,ESTIMATED_MONTHLY,HIGH,STABLE,HIGH,YES,NO,NO,YES,HIGH,Portal Citas REPUVE Guia,VIN Verification Tool & Appointment Guide,36,Display Ads,Auto Insurance Affiliates,$400,LOW,IMMEDIATE,HIGH,KILLED_GOV_TOOL,52,DROP
